Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 320 189 4 3
1 323 283 7 0
2 456 638 9 14
3 326 422 7 10
4 427 264 10 4
5 430 1149 11 35
6 427 398 7 12
7 273 25 7 0
8 4 26 4 0
9 324 155 6 4
10 436 285 7 5
11 427 117 6 5
12 456 292 12 5
13 11 88 11 0
14 429 417 14 8
15 7 92 7 2
16 454 116 6 2
17 456 1334 7 34
18 466 357 5 5
19 463 360 8 4
20 470 565 6 9
21 463 379 13 8
22 465 248 8 10
23 179 18 3 2
24 463 335 12 8
25 182 204 4 4
26 458 316 10 6
27 461 292 10 4
28 428 198 10 16
29 463 250 7 4
30 71 8 2 0
31 460 334 14 3
32 456 385 6 12
33 464 2055 6 58
34 19 19 0 0
35 460 380 8 5
36 7 0 5 0
37 30 8 9 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 28 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 58 3 7 0
