Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 336 217 4 2
1 341 297 7 1
2 480 569 9 12
3 7 43 7 0
4 448 275 10 7
5 451 1152 11 31
6 451 444 6 10
7 260 26 8 0
8 340 40 4 1
9 342 156 7 1
10 457 244 7 7
11 448 153 5 7
12 480 232 12 5
13 13 86 13 1
14 446 434 15 8
15 428 825 8 19
16 478 141 5 3
17 480 1389 7 35
18 490 416 5 10
19 487 478 8 8
20 494 498 7 14
21 487 411 13 8
22 489 324 10 13
23 19 7 1 2
24 487 302 12 5
25 4 27 4 2
26 482 288 10 7
27 485 305 10 4
28 449 216 10 10
29 487 236 8 5
30 2 22 2 0
31 484 265 15 3
32 480 489 7 14
33 488 2161 7 50
34 18 18 0 0
35 484 401 9 7
36 7 0 5 0
37 25 8 10 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 58 2 8 0
