Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 19 4 0
1 364 227 9 10
2 532 966 12 10
3 371 369 7 12
4 492 211 10 7
5 490 1340 12 41
6 498 303 7 10
7 511 87 9 3
8 4 12 4 0
9 364 127 7 3
10 496 131 8 6
11 499 230 12 11
12 13 53 13 0
13 15 62 15 1
14 16 27 16 0
15 491 1781 8 33
16 7 52 7 1
17 531 1803 9 52
18 541 509 5 9
19 539 365 10 13
20 545 357 6 4
21 13 36 13 2
22 540 665 11 12
23 203 31 6 4
24 538 245 13 7
25 202 203 3 4
26 533 202 11 2
27 536 141 13 2
28 493 353 11 16
29 538 240 8 9
30 359 31 5 0
31 535 289 15 8
32 531 363 7 25
33 539 2452 8 65
34 2 8 2 0
35 535 342 9 5
36 11 14 11 0
37 484 37 10 0
38 7 0 3 0
39 14 0 8 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 239 5 6 0
48 5 0 0 0
49 7 0 7 0
50 10 4 10 0
51 510 14 8 1
