Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 13 4 1
1 292 168 6 15
2 9 73 9 1
3 7 11 7 0
4 397 230 10 20
5 400 567 10 51
6 409 408 6 41
7 3 17 3 0
8 4 12 4 1
9 315 135 7 9
10 7 23 7 3
11 9 47 9 1
12 12 40 12 0
13 422 570 10 47
14 12 24 12 0
15 7 40 7 5
16 4 40 4 3
17 6 66 6 4
18 4 17 4 0
19 8 27 8 1
20 7 21 7 1
21 13 42 13 3
22 10 23 10 1
23 6 9 6 1
24 12 41 12 0
25 2 8 2 1
26 9 49 9 6
27 436 265 9 32
28 11 52 11 4
29 7 23 7 3
30 100 2 2 2
31 14 37 14 1
32 8 56 8 2
33 6 54 6 4
34 0 2 0 0
35 437 182 7 27
36 0 2 0 2
37 5 19 5 0
38 0 0 0 0
39 0 0 0 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 7 5 7 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 7 3 7 0
