# time  ID  size  fromHost  toHost  TTL  isResponse
1200.0000 M1 1000000 cambridge-Host35 cambridge-Host26 n/a N 
2400.0000 M2 1000000 cambridge-Host34 cambridge-Host14 n/a N 
3600.0000 M3 1000000 cambridge-Host35 cambridge-Host17 n/a N 
4800.0000 M4 1000000 cambridge-Host30 cambridge-Host1 n/a N 
6000.0000 M5 1000000 cambridge-Host51 cambridge-Host5 n/a N 
7200.0000 M6 1000000 cambridge-Host39 cambridge-Host2 n/a N 
8400.0000 M7 1000000 cambridge-Host39 cambridge-Host9 n/a N 
9600.0000 M8 1000000 cambridge-Host15 cambridge-Host21 n/a N 
10800.0000 M9 1000000 cambridge-Host41 cambridge-Host10 n/a N 
12000.0000 M10 1000000 cambridge-Host37 cambridge-Host7 n/a N 
13200.0000 M11 1000000 cambridge-Host5 cambridge-Host19 n/a N 
14400.0000 M12 1000000 cambridge-Host35 cambridge-Host8 n/a N 
15600.0000 M13 1000000 cambridge-Host32 cambridge-Host29 n/a N 
16800.0000 M14 1000000 cambridge-Host43 cambridge-Host50 n/a N 
18000.0000 M15 1000000 cambridge-Host15 cambridge-Host31 n/a N 
19200.0000 M16 1000000 cambridge-Host17 cambridge-Host3 n/a N 
20400.0000 M17 1000000 cambridge-Host21 cambridge-Host17 n/a N 
21600.0000 M18 1000000 cambridge-Host14 cambridge-Host35 n/a N 
22800.0000 M19 1000000 cambridge-Host16 cambridge-Host21 n/a N 
24000.0000 M20 1000000 cambridge-Host13 cambridge-Host50 n/a N 
25200.0000 M21 1000000 cambridge-Host28 cambridge-Host1 n/a N 
26400.0000 M22 1000000 cambridge-Host31 cambridge-Host28 n/a N 
27600.0000 M23 1000000 cambridge-Host19 cambridge-Host15 n/a N 
28800.0000 M24 1000000 cambridge-Host46 cambridge-Host27 n/a N 
30000.0000 M25 1000000 cambridge-Host31 cambridge-Host44 n/a N 
31200.0000 M26 1000000 cambridge-Host27 cambridge-Host31 n/a N 
32400.0000 M27 1000000 cambridge-Host31 cambridge-Host27 n/a N 
33600.0000 M28 1000000 cambridge-Host22 cambridge-Host7 n/a N 
34800.0000 M29 1000000 cambridge-Host40 cambridge-Host11 n/a N 
36000.0000 M30 1000000 cambridge-Host41 cambridge-Host48 n/a N 
37200.0000 M31 1000000 cambridge-Host37 cambridge-Host13 n/a N 
38400.0000 M32 1000000 cambridge-Host40 cambridge-Host17 n/a N 
39600.0000 M33 1000000 cambridge-Host46 cambridge-Host41 n/a N 
40800.0000 M34 1000000 cambridge-Host45 cambridge-Host24 n/a N 
42000.0000 M35 1000000 cambridge-Host6 cambridge-Host23 n/a N 
43200.0000 M36 1000000 cambridge-Host2 cambridge-Host3 n/a N 
44400.0000 M37 1000000 cambridge-Host39 cambridge-Host12 n/a N 
45600.0000 M38 1000000 cambridge-Host32 cambridge-Host34 n/a N 
46800.0000 M39 1000000 cambridge-Host36 cambridge-Host11 n/a N 
48000.0000 M40 1000000 cambridge-Host7 cambridge-Host38 n/a N 
49200.0000 M41 1000000 cambridge-Host25 cambridge-Host49 n/a N 
50400.0000 M42 1000000 cambridge-Host5 cambridge-Host36 n/a N 
51600.0000 M43 1000000 cambridge-Host8 cambridge-Host45 n/a N 
52800.0000 M44 1000000 cambridge-Host18 cambridge-Host48 n/a N 
54000.0000 M45 1000000 cambridge-Host20 cambridge-Host34 n/a N 
55200.0000 M46 1000000 cambridge-Host50 cambridge-Host8 n/a N 
56400.0000 M47 1000000 cambridge-Host42 cambridge-Host50 n/a N 
57600.0000 M48 1000000 cambridge-Host17 cambridge-Host1 n/a N 
58800.0000 M49 1000000 cambridge-Host29 cambridge-Host22 n/a N 
60000.0000 M50 1000000 cambridge-Host23 cambridge-Host6 n/a N 
61200.0000 M51 1000000 cambridge-Host11 cambridge-Host48 n/a N 
62400.0000 M52 1000000 cambridge-Host11 cambridge-Host45 n/a N 
63600.0000 M53 1000000 cambridge-Host38 cambridge-Host5 n/a N 
64800.0000 M54 1000000 cambridge-Host14 cambridge-Host26 n/a N 
66000.0000 M55 1000000 cambridge-Host9 cambridge-Host39 n/a N 
67200.0000 M56 1000000 cambridge-Host6 cambridge-Host37 n/a N 
68400.0000 M57 1000000 cambridge-Host38 cambridge-Host41 n/a N 
69600.0000 M58 1000000 cambridge-Host5 cambridge-Host12 n/a N 
70800.0000 M59 1000000 cambridge-Host38 cambridge-Host35 n/a N 
72000.0000 M60 1000000 cambridge-Host21 cambridge-Host3 n/a N 
73200.0000 M61 1000000 cambridge-Host25 cambridge-Host9 n/a N 
74400.0000 M62 1000000 cambridge-Host49 cambridge-Host5 n/a N 
75600.0000 M63 1000000 cambridge-Host0 cambridge-Host2 n/a N 
76800.0000 M64 1000000 cambridge-Host26 cambridge-Host0 n/a N 
78000.0000 M65 1000000 cambridge-Host10 cambridge-Host47 n/a N 
79200.0000 M66 1000000 cambridge-Host33 cambridge-Host4 n/a N 
80400.0000 M67 1000000 cambridge-Host6 cambridge-Host24 n/a N 
81600.0000 M68 1000000 cambridge-Host0 cambridge-Host29 n/a N 
82800.0000 M69 1000000 cambridge-Host7 cambridge-Host43 n/a N 
84000.0000 M70 1000000 cambridge-Host0 cambridge-Host44 n/a N 
85200.0000 M71 1000000 cambridge-Host50 cambridge-Host23 n/a N 
86400.0000 M72 1000000 cambridge-Host17 cambridge-Host5 n/a N 
87600.0000 M73 1000000 cambridge-Host12 cambridge-Host48 n/a N 
88800.0000 M74 1000000 cambridge-Host26 cambridge-Host2 n/a N 
90000.0000 M75 1000000 cambridge-Host0 cambridge-Host46 n/a N 
91200.0000 M76 1000000 cambridge-Host41 cambridge-Host10 n/a N 
92400.0000 M77 1000000 cambridge-Host40 cambridge-Host24 n/a N 
93600.0000 M78 1000000 cambridge-Host7 cambridge-Host21 n/a N 
94800.0000 M79 1000000 cambridge-Host29 cambridge-Host24 n/a N 
96000.0000 M80 1000000 cambridge-Host21 cambridge-Host9 n/a N 
97200.0000 M81 1000000 cambridge-Host50 cambridge-Host41 n/a N 
98400.0000 M82 1000000 cambridge-Host2 cambridge-Host32 n/a N 
99600.0000 M83 1000000 cambridge-Host8 cambridge-Host12 n/a N 
100800.0000 M84 1000000 cambridge-Host5 cambridge-Host45 n/a N 
102000.0000 M85 1000000 cambridge-Host40 cambridge-Host11 n/a N 
103200.0000 M86 1000000 cambridge-Host23 cambridge-Host11 n/a N 
104400.0000 M87 1000000 cambridge-Host50 cambridge-Host39 n/a N 
105600.0000 M88 1000000 cambridge-Host34 cambridge-Host33 n/a N 
106800.0000 M89 1000000 cambridge-Host43 cambridge-Host38 n/a N 
108000.0000 M90 1000000 cambridge-Host33 cambridge-Host12 n/a N 
109200.0000 M91 1000000 cambridge-Host47 cambridge-Host7 n/a N 
110400.0000 M92 1000000 cambridge-Host19 cambridge-Host44 n/a N 
111600.0000 M93 1000000 cambridge-Host4 cambridge-Host10 n/a N 
112800.0000 M94 1000000 cambridge-Host36 cambridge-Host1 n/a N 
114000.0000 M95 1000000 cambridge-Host3 cambridge-Host24 n/a N 
115200.0000 M96 1000000 cambridge-Host7 cambridge-Host13 n/a N 
116400.0000 M97 1000000 cambridge-Host20 cambridge-Host35 n/a N 
117600.0000 M98 1000000 cambridge-Host31 cambridge-Host28 n/a N 
118800.0000 M99 1000000 cambridge-Host17 cambridge-Host50 n/a N 
120000.0000 M100 1000000 cambridge-Host34 cambridge-Host49 n/a N 
121200.0000 M101 1000000 cambridge-Host40 cambridge-Host25 n/a N 
122400.0000 M102 1000000 cambridge-Host46 cambridge-Host5 n/a N 
123600.0000 M103 1000000 cambridge-Host46 cambridge-Host16 n/a N 
124800.0000 M104 1000000 cambridge-Host31 cambridge-Host41 n/a N 
126000.0000 M105 1000000 cambridge-Host13 cambridge-Host26 n/a N 
127200.0000 M106 1000000 cambridge-Host41 cambridge-Host32 n/a N 
128400.0000 M107 1000000 cambridge-Host23 cambridge-Host25 n/a N 
129600.0000 M108 1000000 cambridge-Host48 cambridge-Host26 n/a N 
130800.0000 M109 1000000 cambridge-Host49 cambridge-Host48 n/a N 
132000.0000 M110 1000000 cambridge-Host47 cambridge-Host22 n/a N 
133200.0000 M111 1000000 cambridge-Host6 cambridge-Host38 n/a N 
134400.0000 M112 1000000 cambridge-Host29 cambridge-Host31 n/a N 
135600.0000 M113 1000000 cambridge-Host36 cambridge-Host2 n/a N 
136800.0000 M114 1000000 cambridge-Host23 cambridge-Host5 n/a N 
138000.0000 M115 1000000 cambridge-Host45 cambridge-Host0 n/a N 
139200.0000 M116 1000000 cambridge-Host2 cambridge-Host23 n/a N 
140400.0000 M117 1000000 cambridge-Host28 cambridge-Host2 n/a N 
