Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 329 84 4 12
1 314 281 7 18
2 9 84 9 1
3 334 396 7 11
4 10 34 10 4
5 441 801 11 64
6 6 49 6 1
7 223 50 3 1
8 4 8 4 0
9 7 7 7 0
10 7 22 7 2
11 7 54 7 1
12 465 360 12 22
13 13 25 13 2
14 440 311 14 16
15 8 59 8 5
16 5 30 5 1
17 7 68 7 5
18 4 22 4 1
19 8 30 8 2
20 480 619 7 25
21 473 385 13 19
22 9 17 9 1
23 34 1 5 1
24 473 388 12 14
25 4 22 4 0
26 468 433 10 21
27 9 36 9 1
28 11 74 11 7
29 7 29 7 2
30 3 29 3 0
31 15 60 15 1
32 7 88 7 4
33 6 82 6 4
34 0 2 0 0
35 471 403 9 21
36 32 2 0 1
37 319 33 7 2
38 0 7 0 0
39 0 0 0 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 7 0 0 0
50 14 0 0 0
51 0 1 0 0
