# time  ID  size  fromHost  toHost  TTL  isResponse
1200.0000 M1 100000000 infoCom2006-Host61 infoCom2006-Host14 n/a N 
2400.0000 M2 100000000 infoCom2006-Host4 infoCom2006-Host52 n/a N 
3600.0000 M3 100000000 infoCom2006-Host93 infoCom2006-Host41 n/a N 
4800.0000 M4 100000000 infoCom2006-Host0 infoCom2006-Host39 n/a N 
6000.0000 M5 100000000 infoCom2006-Host79 infoCom2006-Host23 n/a N 
7200.0000 M6 100000000 infoCom2006-Host77 infoCom2006-Host8 n/a N 
8400.0000 M7 100000000 infoCom2006-Host89 infoCom2006-Host43 n/a N 
9600.0000 M8 100000000 infoCom2006-Host53 infoCom2006-Host23 n/a N 
10800.0000 M9 100000000 infoCom2006-Host79 infoCom2006-Host4 n/a N 
12000.0000 M10 100000000 infoCom2006-Host17 infoCom2006-Host19 n/a N 
13200.0000 M11 100000000 infoCom2006-Host91 infoCom2006-Host17 n/a N 
14400.0000 M12 100000000 infoCom2006-Host43 infoCom2006-Host28 n/a N 
15600.0000 M13 100000000 infoCom2006-Host96 infoCom2006-Host93 n/a N 
16800.0000 M14 100000000 infoCom2006-Host89 infoCom2006-Host28 n/a N 
18000.0000 M15 100000000 infoCom2006-Host67 infoCom2006-Host13 n/a N 
19200.0000 M16 100000000 infoCom2006-Host41 infoCom2006-Host69 n/a N 
20400.0000 M17 100000000 infoCom2006-Host45 infoCom2006-Host29 n/a N 
21600.0000 M18 100000000 infoCom2006-Host23 infoCom2006-Host6 n/a N 
22800.0000 M19 100000000 infoCom2006-Host9 infoCom2006-Host2 n/a N 
24000.0000 M20 100000000 infoCom2006-Host23 infoCom2006-Host69 n/a N 
25200.0000 M21 100000000 infoCom2006-Host82 infoCom2006-Host20 n/a N 
26400.0000 M22 100000000 infoCom2006-Host13 infoCom2006-Host51 n/a N 
27600.0000 M23 100000000 infoCom2006-Host36 infoCom2006-Host25 n/a N 
28800.0000 M24 100000000 infoCom2006-Host75 infoCom2006-Host30 n/a N 
30000.0000 M25 100000000 infoCom2006-Host83 infoCom2006-Host79 n/a N 
31200.0000 M26 100000000 infoCom2006-Host50 infoCom2006-Host25 n/a N 
32400.0000 M27 100000000 infoCom2006-Host27 infoCom2006-Host11 n/a N 
33600.0000 M28 100000000 infoCom2006-Host1 infoCom2006-Host2 n/a N 
34800.0000 M29 100000000 infoCom2006-Host97 infoCom2006-Host32 n/a N 
36000.0000 M30 100000000 infoCom2006-Host23 infoCom2006-Host91 n/a N 
37200.0000 M31 100000000 infoCom2006-Host52 infoCom2006-Host31 n/a N 
38400.0000 M32 100000000 infoCom2006-Host93 infoCom2006-Host86 n/a N 
39600.0000 M33 100000000 infoCom2006-Host59 infoCom2006-Host80 n/a N 
40800.0000 M34 100000000 infoCom2006-Host35 infoCom2006-Host91 n/a N 
42000.0000 M35 100000000 infoCom2006-Host24 infoCom2006-Host88 n/a N 
43200.0000 M36 100000000 infoCom2006-Host75 infoCom2006-Host34 n/a N 
44400.0000 M37 100000000 infoCom2006-Host7 infoCom2006-Host77 n/a N 
45600.0000 M38 100000000 infoCom2006-Host46 infoCom2006-Host58 n/a N 
46800.0000 M39 100000000 infoCom2006-Host86 infoCom2006-Host24 n/a N 
48000.0000 M40 100000000 infoCom2006-Host13 infoCom2006-Host1 n/a N 
49200.0000 M41 100000000 infoCom2006-Host44 infoCom2006-Host49 n/a N 
50400.0000 M42 100000000 infoCom2006-Host37 infoCom2006-Host47 n/a N 
51600.0000 M43 100000000 infoCom2006-Host26 infoCom2006-Host68 n/a N 
52800.0000 M44 100000000 infoCom2006-Host43 infoCom2006-Host30 n/a N 
