Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 16 2 1
1 213 133 2 7
2 4 20 4 2
3 228 343 2 16
4 1 18 1 1
5 198 294 1 9
6 2 2 2 0
7 3 11 3 0
8 4 3 4 0
9 1 8 1 0
10 2 6 2 0
11 4 5 4 0
12 2 6 2 1
13 165 80 2 4
14 4 7 4 0
15 0 0 0 0
16 2 0 2 0
17 16 1 1 1
18 0 1 0 0
19 1 3 1 0
20 2 3 2 1
21 1 8 1 0
22 1 0 1 0
23 3 18 3 0
24 214 226 3 8
25 226 180 4 8
26 1 17 1 1
27 2 5 2 0
28 3 7 3 0
29 228 147 4 6
30 2 22 2 0
31 7 12 7 0
32 3 9 3 0
33 1 4 1 0
34 170 31 4 3
35 0 20 0 0
36 1 11 1 0
37 2 8 2 1
38 5 8 5 1
39 2 8 2 0
40 229 217 1 16
41 1 18 1 0
42 226 226 2 16
43 3 29 3 1
44 5 1 5 0
45 3 25 3 0
46 0 3 0 0
47 2 0 2 0
48 0 16 0 1
49 2 0 2 0
50 1 20 1 0
51 214 299 3 8
52 1 19 1 0
53 0 20 0 0
54 3 8 3 0
55 5 8 5 1
56 202 46 3 2
57 1 0 1 0
58 180 105 2 4
59 0 22 0 0
60 2 17 2 1
61 1 4 1 0
62 1 0 1 0
63 1 0 1 0
64 1 6 1 0
65 176 120 1 8
66 3 8 3 0
67 1 6 1 0
68 1 5 1 0
69 8 8 8 0
70 1 8 1 1
71 162 98 5 11
72 203 142 2 16
73 2 6 2 0
74 2 9 2 0
75 1 24 1 1
76 224 145 0 8
77 3 15 3 0
78 1 0 1 0
79 1 20 1 0
80 1 3 1 0
81 3 0 3 0
82 217 94 3 8
83 175 412 0 23
84 2 2 2 0
85 1 6 1 0
86 2 8 2 1
87 1 5 1 0
88 2 0 2 0
89 2 20 2 1
90 2 3 2 0
91 4 11 4 0
92 5 3 5 0
93 2 9 2 0
94 1 7 1 0
95 0 0 0 0
96 2 5 2 1
97 0 9 0 0
