Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 240 358 2 5
1 2 12 2 0
2 238 435 4 6
3 2 5 2 0
4 238 276 1 5
5 3 17 3 0
6 2 4 2 0
7 240 59 3 3
8 4 3 4 0
9 229 218 1 10
10 2 10 2 0
11 4 6 4 0
12 218 642 3 8
13 179 309 3 2
14 183 347 4 6
15 243 709 0 28
16 2 0 2 0
17 197 83 2 1
18 129 9 0 0
19 197 133 1 2
20 3 5 3 1
21 240 173 1 3
22 134 59 1 2
23 3 37 3 0
24 238 410 4 4
25 214 105 4 3
26 1 19 1 0
27 2 7 2 0
28 3 11 3 0
29 4 11 4 1
30 2 22 2 0
31 7 17 7 0
32 242 117 3 3
33 144 59 1 1
34 241 106 4 7
35 239 167 0 4
36 1 21 1 0
37 2 10 2 0
38 6 15 6 1
39 2 7 2 0
40 1 9 1 1
41 242 206 2 3
42 243 293 2 8
43 3 41 3 1
44 245 167 5 1
45 3 25 3 0
46 240 125 1 2
47 2 0 2 0
48 0 7 0 1
49 2 0 2 0
50 1 25 1 0
51 234 280 3 5
52 236 302 2 4
53 236 142 0 3
54 235 148 3 1
55 241 261 5 6
56 214 82 3 6
57 2 0 2 0
58 195 103 2 2
59 0 25 0 0
60 2 20 2 0
61 181 67 1 6
62 3 0 3 0
63 245 228 1 6
64 239 51 1 1
65 1 5 1 0
66 3 7 3 0
67 1 5 1 0
68 188 21 1 0
69 8 6 8 0
70 186 151 1 6
71 5 2 5 0
72 3 22 3 0
73 2 6 2 0
74 198 120 2 1
75 237 287 1 5
76 0 0 0 0
77 243 214 3 4
78 192 166 1 3
79 239 302 1 4
80 215 128 1 1
81 3 0 3 0
82 4 12 4 0
83 186 543 0 13
84 2 5 2 0
85 244 183 1 6
86 141 103 2 2
87 1 7 1 0
88 244 211 2 4
89 2 17 2 0
90 225 130 2 1
91 128 102 4 0
92 5 1 5 0
93 2 17 2 0
94 135 160 1 3
95 0 0 0 0
96 3 9 3 0
97 0 9 0 1
