Number of messages: 337
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 297 427 3 6
1 295 176 2 6
2 291 484 4 6
3 299 380 3 4
4 2 18 2 2
5 290 539 4 5
6 271 83 2 1
7 295 98 3 3
8 296 81 4 1
9 293 435 1 3
10 294 77 2 0
11 291 313 4 4
12 4 10 4 1
13 213 302 4 3
14 217 423 6 8
15 301 1307 0 23
16 298 599 2 6
17 2 4 2 1
18 233 5 1 0
19 1 4 1 0
20 295 39 3 1
21 293 152 1 3
22 160 100 1 0
23 293 251 4 2
24 4 5 4 0
25 296 131 5 2
26 226 495 2 5
27 2 9 2 0
28 298 69 3 2
29 299 249 5 1
30 295 133 2 3
31 294 135 7 3
32 295 134 3 2
33 1 4 1 0
34 297 125 7 1
35 293 344 1 5
36 1 4 1 0
37 297 406 4 7
38 253 232 9 2
39 297 292 2 2
40 298 244 1 3
41 296 249 3 1
42 2 7 2 0
43 292 403 3 1
44 6 2 6 0
45 293 536 3 9
46 2 6 2 0
47 300 450 3 9
48 297 465 1 9
49 300 178 3 2
50 294 403 1 4
51 4 13 4 0
52 290 309 4 8
53 293 198 0 0
54 290 191 3 4
55 296 290 9 2
56 3 3 3 0
57 297 431 2 8
58 251 122 2 1
59 293 183 1 2
60 2 29 2 0
61 215 114 1 2
62 4 1 4 0
63 299 196 2 5
64 293 100 2 3
65 1 3 1 0
66 3 8 3 0
67 1 7 1 0
68 1 4 1 0
69 9 5 9 0
70 232 181 1 7
71 5 4 5 0
72 3 7 3 0
73 296 347 3 4
74 3 3 3 0
75 2 9 2 0
76 297 192 1 2
77 297 176 4 1
78 1 0 1 0
79 294 339 1 5
80 2 1 2 0
81 297 169 4 3
82 289 218 4 3
83 241 854 0 11
84 297 582 3 11
85 297 179 1 5
86 2 8 2 0
87 208 220 2 6
88 3 0 3 0
89 2 18 2 0
90 295 135 3 1
91 155 97 4 1
92 298 218 6 5
93 147 87 3 1
94 163 235 2 2
95 143 127 0 3
96 292 152 3 3
97 78 54 0 0
