Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 13 2 1
1 240 150 2 3
2 240 474 4 4
3 244 350 3 3
4 240 331 1 1
5 3 27 3 1
6 235 60 2 1
7 3 2 3 0
8 243 81 4 2
9 1 13 1 0
10 242 58 2 0
11 230 336 4 6
12 4 7 4 1
13 181 144 3 1
14 183 226 4 3
15 0 0 0 0
16 244 364 2 7
17 195 76 2 1
18 195 60 0 0
19 196 145 2 2
20 242 41 3 1
21 241 136 1 1
22 135 109 1 2
23 240 171 3 4
24 240 468 4 4
25 242 138 4 4
26 185 442 1 10
27 2 4 2 0
28 243 95 3 1
29 244 171 4 2
30 2 12 2 0
31 7 5 7 0
32 244 136 3 2
33 144 72 1 1
34 245 127 4 4
35 0 20 0 0
36 141 85 1 2
37 2 10 2 0
38 228 276 6 3
39 246 217 2 0
40 1 5 1 1
41 2 7 2 0
42 245 345 2 7
43 3 23 3 0
44 245 109 5 0
45 3 11 3 0
46 241 145 1 6
47 249 415 2 6
48 245 423 1 7
49 246 83 2 0
50 244 222 1 4
51 237 488 3 5
52 2 18 2 0
53 238 116 0 1
54 3 2 3 0
55 6 5 6 0
56 236 86 3 3
57 243 428 2 5
58 224 89 2 2
59 241 155 0 2
60 235 1203 2 16
61 184 138 1 3
62 3 0 3 0
63 246 230 2 5
64 241 68 1 3
65 200 123 1 0
66 3 3 3 0
67 1 4 1 0
68 190 23 1 0
69 8 3 8 0
70 203 162 1 5
71 239 201 5 3
72 228 341 3 4
73 2 4 2 0
74 192 95 2 2
75 239 238 1 3
76 244 169 0 3
77 244 295 3 2
78 228 183 1 4
79 1 15 1 0
80 245 116 1 2
81 3 0 3 0
82 240 247 4 4
83 226 1008 0 17
84 2 4 2 0
85 244 129 1 3
86 141 109 2 1
87 1 2 1 0
88 248 347 2 5
89 237 269 2 4
90 2 2 2 0
91 129 83 4 0
92 244 219 5 3
93 122 50 2 1
94 1 3 1 0
95 118 113 0 1
96 244 104 3 1
97 68 64 0 1
