Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 11 1 1
1 2 5 2 1
2 4 13 4 3
3 2 4 2 0
4 1 12 1 2
5 1 7 1 2
6 2 4 2 0
7 3 8 3 2
8 4 2 4 0
9 1 4 1 0
10 1 4 1 0
11 153 5 4 1
12 2 2 2 1
13 3 10 3 0
14 3 8 3 0
15 0 0 0 0
16 2 0 2 0
17 1 6 1 1
18 0 4 0 0
19 43 2 1 2
20 2 4 2 1
21 1 6 1 0
22 1 0 1 0
23 3 21 3 1
24 4 14 4 0
25 4 9 4 1
26 1 13 1 1
27 2 4 2 0
28 2 5 2 1
29 3 2 3 1
30 2 11 2 1
31 6 14 6 0
32 213 65 3 13
33 1 4 1 0
34 208 106 4 11
35 0 12 0 1
36 1 8 1 1
37 2 7 2 0
38 6 7 6 1
39 2 7 2 0
40 1 4 1 1
41 1 8 1 0
42 2 12 2 2
43 3 22 3 2
44 4 1 4 0
45 3 19 3 1
46 0 5 0 1
47 2 0 2 0
48 209 357 0 33
49 2 0 2 0
50 1 16 1 1
51 3 15 3 1
52 2 22 2 0
53 204 167 0 22
54 3 3 3 0
55 4 3 4 1
56 2 4 2 1
57 2 0 2 0
58 2 6 2 1
59 0 12 0 1
60 2 12 2 1
61 1 2 1 0
62 2 0 2 0
63 0 1 0 0
64 1 5 1 0
65 1 3 1 1
66 3 3 3 1
67 1 4 1 0
68 1 3 1 0
69 206 182 8 14
70 1 11 1 1
71 2 1 2 0
72 3 15 3 1
73 1 4 1 0
74 2 7 2 0
75 1 11 1 2
76 0 0 0 0
77 189 223 3 28
78 1 0 1 0
79 1 13 1 1
80 1 2 1 0
81 3 0 3 0
82 2 6 2 0
83 0 20 0 2
84 2 5 2 1
85 1 3 1 1
86 2 5 2 1
87 1 3 1 0
88 2 0 2 0
89 2 16 2 1
90 2 2 2 0
91 113 68 3 1
92 5 2 5 0
93 2 6 2 0
94 1 4 1 0
95 100 47 0 14
96 2 4 2 1
97 0 4 0 1
