Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 239 280 2 6
1 228 65 2 1
2 4 20 4 1
3 241 254 2 5
4 237 266 1 3
5 3 23 3 1
6 2 4 2 0
7 3 2 3 0
8 240 38 4 5
9 1 11 1 0
10 2 4 2 0
11 227 137 4 3
12 3 4 3 1
13 180 168 3 1
14 4 10 4 0
15 244 826 0 22
16 241 290 2 12
17 2 4 2 1
18 189 3 0 0
19 1 6 1 0
20 197 35 2 1
21 1 5 1 0
22 1 0 1 0
23 3 13 3 0
24 4 7 4 0
25 4 9 4 1
26 183 215 1 11
27 186 95 2 3
28 3 7 3 0
29 4 9 4 1
30 2 12 2 0
31 7 18 7 0
32 240 167 3 2
33 1 1 1 0
34 4 4 4 0
35 0 8 0 0
36 1 5 1 0
37 2 4 2 0
38 227 159 7 1
39 239 367 2 11
40 1 8 1 1
41 2 5 2 0
42 2 16 2 1
43 3 29 3 1
44 5 1 5 0
45 236 331 3 7
46 1 4 1 0
47 2 0 2 0
48 0 7 0 1
49 2 0 2 0
50 240 352 1 6
51 3 19 3 0
52 2 17 2 0
53 235 131 0 1
54 3 3 3 0
55 240 185 6 10
56 3 2 3 1
57 241 262 2 7
58 216 93 2 1
59 238 193 0 3
60 233 625 2 17
61 180 193 1 6
62 3 0 3 0
63 1 1 1 0
64 1 2 1 0
65 1 2 1 0
66 3 3 3 0
67 189 292 1 1
68 190 49 1 1
69 8 3 8 0
70 1 6 1 1
71 231 204 5 4
72 3 9 3 0
73 241 149 2 4
74 2 4 2 0
75 233 187 1 6
76 0 0 0 0
77 3 3 3 0
78 219 287 1 8
79 1 11 1 0
80 242 117 1 1
81 3 0 3 0
82 223 132 3 0
83 202 462 0 11
84 2 3 2 0
85 240 165 1 5
86 142 100 2 2
87 178 181 1 6
88 2 0 2 0
89 233 202 2 5
90 2 1 2 0
91 130 46 4 0
92 241 193 5 6
93 2 5 2 0
94 1 1 1 0
95 0 0 0 0
96 3 11 3 0
97 0 2 0 0
