# time  ID  size  fromHost  toHost  TTL  isResponse
1200.0000 M1 100000000 IntelHost3 IntelHost6 n/a N 
2400.0000 M2 100000000 IntelHost1 IntelHost2 n/a N 
3600.0000 M3 100000000 IntelHost4 IntelHost1 n/a N 
4800.0000 M4 100000000 IntelHost7 IntelHost2 n/a N 
6000.0000 M5 100000000 IntelHost2 IntelHost8 n/a N 
7200.0000 M6 100000000 IntelHost6 IntelHost0 n/a N 
8400.0000 M7 100000000 IntelHost7 IntelHost1 n/a N 
9600.0000 M8 100000000 IntelHost8 IntelHost7 n/a N 
10800.0000 M9 100000000 IntelHost6 IntelHost8 n/a N 
12000.0000 M10 100000000 IntelHost4 IntelHost1 n/a N 
13200.0000 M11 100000000 IntelHost8 IntelHost2 n/a N 
14400.0000 M12 100000000 IntelHost6 IntelHost8 n/a N 
15600.0000 M13 100000000 IntelHost7 IntelHost6 n/a N 
16800.0000 M14 100000000 IntelHost0 IntelHost7 n/a N 
18000.0000 M15 100000000 IntelHost7 IntelHost0 n/a N 
19200.0000 M16 100000000 IntelHost8 IntelHost4 n/a N 
20400.0000 M17 100000000 IntelHost5 IntelHost7 n/a N 
21600.0000 M18 100000000 IntelHost8 IntelHost5 n/a N 
22800.0000 M19 100000000 IntelHost8 IntelHost7 n/a N 
24000.0000 M20 100000000 IntelHost2 IntelHost3 n/a N 
25200.0000 M21 100000000 IntelHost1 IntelHost2 n/a N 
26400.0000 M22 100000000 IntelHost4 IntelHost5 n/a N 
27600.0000 M23 100000000 IntelHost3 IntelHost2 n/a N 
28800.0000 M24 100000000 IntelHost0 IntelHost1 n/a N 
30000.0000 M25 100000000 IntelHost2 IntelHost3 n/a N 
31200.0000 M26 100000000 IntelHost7 IntelHost8 n/a N 
32400.0000 M27 100000000 IntelHost1 IntelHost6 n/a N 
33600.0000 M28 100000000 IntelHost1 IntelHost0 n/a N 
34800.0000 M29 100000000 IntelHost3 IntelHost7 n/a N 
36000.0000 M30 100000000 IntelHost8 IntelHost4 n/a N 
37200.0000 M31 100000000 IntelHost3 IntelHost7 n/a N 
38400.0000 M32 100000000 IntelHost2 IntelHost6 n/a N 
39600.0000 M33 100000000 IntelHost8 IntelHost0 n/a N 
40800.0000 M34 100000000 IntelHost8 IntelHost7 n/a N 
42000.0000 M35 100000000 IntelHost8 IntelHost6 n/a N 
43200.0000 M36 100000000 IntelHost8 IntelHost0 n/a N 
44400.0000 M37 100000000 IntelHost0 IntelHost5 n/a N 
45600.0000 M38 100000000 IntelHost0 IntelHost6 n/a N 
46800.0000 M39 100000000 IntelHost6 IntelHost3 n/a N 
48000.0000 M40 100000000 IntelHost2 IntelHost5 n/a N 
49200.0000 M41 100000000 IntelHost0 IntelHost6 n/a N 
50400.0000 M42 100000000 IntelHost5 IntelHost2 n/a N 
51600.0000 M43 100000000 IntelHost4 IntelHost6 n/a N 
52800.0000 M44 100000000 IntelHost8 IntelHost7 n/a N 
54000.0000 M45 100000000 IntelHost8 IntelHost6 n/a N 
55200.0000 M46 100000000 IntelHost8 IntelHost4 n/a N 
56400.0000 M47 100000000 IntelHost2 IntelHost0 n/a N 
57600.0000 M48 100000000 IntelHost5 IntelHost8 n/a N 
58800.0000 M49 100000000 IntelHost5 IntelHost3 n/a N 
60000.0000 M50 100000000 IntelHost6 IntelHost8 n/a N 
61200.0000 M51 100000000 IntelHost3 IntelHost6 n/a N 
62400.0000 M52 100000000 IntelHost6 IntelHost4 n/a N 
63600.0000 M53 100000000 IntelHost7 IntelHost3 n/a N 
64800.0000 M54 100000000 IntelHost5 IntelHost0 n/a N 
66000.0000 M55 100000000 IntelHost0 IntelHost7 n/a N 
67200.0000 M56 100000000 IntelHost4 IntelHost2 n/a N 
68400.0000 M57 100000000 IntelHost4 IntelHost8 n/a N 
69600.0000 M58 100000000 IntelHost0 IntelHost1 n/a N 
70800.0000 M59 100000000 IntelHost6 IntelHost5 n/a N 
72000.0000 M60 100000000 IntelHost7 IntelHost0 n/a N 
73200.0000 M61 100000000 IntelHost1 IntelHost3 n/a N 
74400.0000 M62 100000000 IntelHost2 IntelHost3 n/a N 
75600.0000 M63 100000000 IntelHost3 IntelHost1 n/a N 
76800.0000 M64 100000000 IntelHost0 IntelHost2 n/a N 
78000.0000 M65 100000000 IntelHost2 IntelHost3 n/a N 
79200.0000 M66 100000000 IntelHost2 IntelHost4 n/a N 
80400.0000 M67 100000000 IntelHost6 IntelHost1 n/a N 
81600.0000 M68 100000000 IntelHost4 IntelHost3 n/a N 
82800.0000 M69 100000000 IntelHost6 IntelHost3 n/a N 
84000.0000 M70 100000000 IntelHost3 IntelHost4 n/a N 
85200.0000 M71 100000000 IntelHost8 IntelHost7 n/a N 
86400.0000 M72 100000000 IntelHost6 IntelHost5 n/a N 
87600.0000 M73 100000000 IntelHost6 IntelHost2 n/a N 
88800.0000 M74 100000000 IntelHost1 IntelHost8 n/a N 
90000.0000 M75 100000000 IntelHost5 IntelHost3 n/a N 
91200.0000 M76 100000000 IntelHost4 IntelHost8 n/a N 
92400.0000 M77 100000000 IntelHost3 IntelHost0 n/a N 
93600.0000 M78 100000000 IntelHost6 IntelHost8 n/a N 
94800.0000 M79 100000000 IntelHost1 IntelHost0 n/a N 
96000.0000 M80 100000000 IntelHost4 IntelHost2 n/a N 
97200.0000 M81 100000000 IntelHost2 IntelHost3 n/a N 
98400.0000 M82 100000000 IntelHost2 IntelHost6 n/a N 
99600.0000 M83 100000000 IntelHost5 IntelHost6 n/a N 
100800.0000 M84 100000000 IntelHost2 IntelHost0 n/a N 
102000.0000 M85 100000000 IntelHost1 IntelHost4 n/a N 
103200.0000 M86 100000000 IntelHost4 IntelHost7 n/a N 
104400.0000 M87 100000000 IntelHost3 IntelHost2 n/a N 
105600.0000 M88 100000000 IntelHost8 IntelHost6 n/a N 
106800.0000 M89 100000000 IntelHost2 IntelHost5 n/a N 
108000.0000 M90 100000000 IntelHost5 IntelHost1 n/a N 
109200.0000 M91 100000000 IntelHost2 IntelHost8 n/a N 
110400.0000 M92 100000000 IntelHost8 IntelHost4 n/a N 
111600.0000 M93 100000000 IntelHost4 IntelHost7 n/a N 
112800.0000 M94 100000000 IntelHost3 IntelHost2 n/a N 
114000.0000 M95 100000000 IntelHost5 IntelHost2 n/a N 
115200.0000 M96 100000000 IntelHost1 IntelHost7 n/a N 
116400.0000 M97 100000000 IntelHost1 IntelHost5 n/a N 
117600.0000 M98 100000000 IntelHost0 IntelHost4 n/a N 
118800.0000 M99 100000000 IntelHost1 IntelHost8 n/a N 
120000.0000 M100 100000000 IntelHost7 IntelHost8 n/a N 
121200.0000 M101 100000000 IntelHost3 IntelHost1 n/a N 
122400.0000 M102 100000000 IntelHost0 IntelHost3 n/a N 
123600.0000 M103 100000000 IntelHost4 IntelHost8 n/a N 
124800.0000 M104 100000000 IntelHost4 IntelHost3 n/a N 
126000.0000 M105 100000000 IntelHost3 IntelHost7 n/a N 
127200.0000 M106 100000000 IntelHost6 IntelHost5 n/a N 
128400.0000 M107 100000000 IntelHost0 IntelHost1 n/a N 
129600.0000 M108 100000000 IntelHost7 IntelHost0 n/a N 
130800.0000 M109 100000000 IntelHost1 IntelHost2 n/a N 
132000.0000 M110 100000000 IntelHost8 IntelHost1 n/a N 
133200.0000 M111 100000000 IntelHost2 IntelHost8 n/a N 
134400.0000 M112 100000000 IntelHost8 IntelHost1 n/a N 
135600.0000 M113 100000000 IntelHost4 IntelHost0 n/a N 
