# time  ID  size  fromHost  toHost  TTL  isResponse
1200.0000 M1 500000000 IntelHost3 IntelHost6 n/a N 
2400.0000 M2 500000000 IntelHost1 IntelHost2 n/a N 
3600.0000 M3 500000000 IntelHost4 IntelHost1 n/a N 
4800.0000 M4 500000000 IntelHost7 IntelHost2 n/a N 
6000.0000 M5 500000000 IntelHost2 IntelHost8 n/a N 
7200.0000 M6 500000000 IntelHost6 IntelHost0 n/a N 
8400.0000 M7 500000000 IntelHost7 IntelHost1 n/a N 
9600.0000 M8 500000000 IntelHost8 IntelHost7 n/a N 
10800.0000 M9 500000000 IntelHost6 IntelHost8 n/a N 
12000.0000 M10 500000000 IntelHost4 IntelHost1 n/a N 
13200.0000 M11 500000000 IntelHost8 IntelHost2 n/a N 
14400.0000 M12 500000000 IntelHost6 IntelHost8 n/a N 
15600.0000 M13 500000000 IntelHost7 IntelHost6 n/a N 
16800.0000 M14 500000000 IntelHost0 IntelHost7 n/a N 
18000.0000 M15 500000000 IntelHost7 IntelHost0 n/a N 
19200.0000 M16 500000000 IntelHost8 IntelHost4 n/a N 
20400.0000 M17 500000000 IntelHost5 IntelHost7 n/a N 
21600.0000 M18 500000000 IntelHost8 IntelHost5 n/a N 
22800.0000 M19 500000000 IntelHost8 IntelHost7 n/a N 
24000.0000 M20 500000000 IntelHost2 IntelHost3 n/a N 
25200.0000 M21 500000000 IntelHost1 IntelHost2 n/a N 
26400.0000 M22 500000000 IntelHost4 IntelHost5 n/a N 
27600.0000 M23 500000000 IntelHost3 IntelHost2 n/a N 
28800.0000 M24 500000000 IntelHost0 IntelHost1 n/a N 
30000.0000 M25 500000000 IntelHost2 IntelHost3 n/a N 
31200.0000 M26 500000000 IntelHost7 IntelHost8 n/a N 
32400.0000 M27 500000000 IntelHost1 IntelHost6 n/a N 
33600.0000 M28 500000000 IntelHost1 IntelHost0 n/a N 
34800.0000 M29 500000000 IntelHost3 IntelHost7 n/a N 
36000.0000 M30 500000000 IntelHost8 IntelHost4 n/a N 
