# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2941.0000 M1 1000000 1 1941.0000 5 4 n/a N 5->4
3004.0000 M3 1000000 1 4.0000 2 6 n/a N 2->6
7311.0000 M4 1000000 1 3311.0000 6 0 n/a N 6->0
8004.0000 M8 1000000 1 4.0000 7 0 n/a N 7->0
8495.0000 M7 1000000 1 1495.0000 5 4 n/a N 5->4
9004.0000 M9 1000000 1 4.0000 3 4 n/a N 3->4
10800.0000 M6 1000000 1 4800.0000 4 7 n/a N 4->7
13170.0000 M11 1000000 1 2170.0000 4 7 n/a N 4->7
15519.0000 M14 1000000 1 1519.0000 3 6 n/a N 3->6
16141.0000 M16 1000000 1 141.0000 6 0 n/a N 6->0
16148.0000 M13 1000000 1 3148.0000 6 1 n/a N 6->1
17610.0000 M5 1000000 1 12610.0000 2 1 n/a N 2->1
17898.0000 M15 1000000 1 2898.0000 0 1 n/a N 0->1
22638.0000 M22 1000000 1 638.0000 0 4 n/a N 0->4
74430.0000 M45 1000000 1 29430.0000 5 0 n/a N 5->0
80291.0000 M78 1000000 1 2291.0000 0 6 n/a N 0->6
80295.0000 M50 1000000 1 30295.0000 6 0 n/a N 6->0
80299.0000 M66 1000000 1 14299.0000 6 0 n/a N 6->0
80303.0000 M25 1000000 1 55303.0000 6 0 n/a N 6->0
83564.0000 M53 1000000 1 30564.0000 0 1 n/a N 0->1
84074.0000 M42 1000000 1 42074.0000 0 1 n/a N 0->1
84079.0000 M46 1000000 1 38079.0000 1 0 n/a N 1->0
85256.0000 M37 1000000 1 48256.0000 0 3 n/a N 0->3
85260.0000 M28 1000000 1 57260.0000 0 3 n/a N 0->3
85265.0000 M74 1000000 1 11265.0000 3 0 n/a N 3->0
87001.0000 M34 1000000 1 53001.0000 2 0 n/a N 2->0
87005.0000 M30 1000000 1 57005.0000 2 0 n/a N 2->0
87009.0000 M87 1000000 1 9.0000 3 0 n/a N 3->0
87014.0000 M73 1000000 1 14014.0000 0 2 n/a N 0->2
87405.0000 M63 1000000 1 24405.0000 1 2 n/a N 1->2
87409.0000 M27 1000000 1 60409.0000 1 2 n/a N 1->2
87414.0000 M24 1000000 1 63414.0000 2 1 n/a N 2->1
87418.0000 M41 1000000 1 46418.0000 2 1 n/a N 2->1
88004.0000 M77 1000000 1 11004.0000 1 3 n/a N 1->3
88008.0000 M23 1000000 1 65008.0000 3 1 n/a N 3->1
88012.0000 M19 1000000 1 69012.0000 3 1 n/a N 3->1
88106.0000 M59 1000000 1 29106.0000 5 2 n/a N 5->2
88110.0000 M65 1000000 1 23110.0000 5 2 n/a N 5->2
88114.0000 M72 1000000 1 16114.0000 5 2 n/a N 5->2
88220.0000 M48 1000000 1 40220.0000 6 2 n/a N 6->2
88224.0000 M60 1000000 1 28224.0000 6 2 n/a N 6->2
88849.0000 M64 1000000 1 24849.0000 3 6 n/a N 3->6
88853.0000 M44 1000000 1 44853.0000 3 6 n/a N 3->6
88972.0000 M21 1000000 1 67972.0000 3 5 n/a N 3->5
88976.0000 M31 1000000 1 57976.0000 3 5 n/a N 3->5
88980.0000 M84 1000000 1 4980.0000 3 5 n/a N 3->5
92064.0000 M10 1000000 1 82064.0000 1 5 n/a N 1->5
92068.0000 M68 1000000 1 24068.0000 1 5 n/a N 1->5
92299.0000 M36 1000000 1 56299.0000 6 5 n/a N 6->5
92303.0000 M54 1000000 1 38303.0000 6 5 n/a N 6->5
92307.0000 M52 1000000 1 40307.0000 6 5 n/a N 6->5
92312.0000 M69 1000000 1 23312.0000 5 6 n/a N 5->6
96004.0000 M96 1000000 1 4.0000 5 2 n/a N 5->2
96218.0000 M91 1000000 1 5218.0000 1 0 n/a N 1->0
102385.0000 M100 1000000 1 2385.0000 6 1 n/a N 6->1
102981.0000 M97 1000000 1 5981.0000 1 0 n/a N 1->0
103004.0000 M103 1000000 1 4.0000 0 1 n/a N 0->1
105915.0000 M105 1000000 1 915.0000 1 2 n/a N 1->2
112004.0000 M112 1000000 1 4.0000 6 1 n/a N 6->1
112629.0000 M102 1000000 1 10629.0000 3 1 n/a N 3->1
187976.0000 M147 1000000 1 40976.0000 3 0 n/a N 3->0
187981.0000 M178 1000000 1 9981.0000 0 3 n/a N 0->3
187985.0000 M121 1000000 1 66985.0000 0 3 n/a N 0->3
195832.0000 M133 1000000 1 62832.0000 2 3 n/a N 2->3
197961.0000 M130 1000000 1 67961.0000 2 1 n/a N 2->1
198004.0000 M198 1000000 1 4.0000 2 1 n/a N 2->1
201954.0000 M146 1000000 1 55954.0000 1 3 n/a N 1->3
201959.0000 M164 1000000 1 37959.0000 3 1 n/a N 3->1
205429.0000 M204 1000000 1 1429.0000 2 1 n/a N 2->1
210022.0000 M206 1000000 1 4022.0000 3 1 n/a N 3->1
248467.0000 M119 1000000 1 129467.0000 2 6 n/a N 2->6
248471.0000 M142 1000000 1 106471.0000 2 6 n/a N 2->6
248475.0000 M117 1000000 1 131475.0000 2 6 n/a N 2->6
248479.0000 M151 1000000 1 97479.0000 6 2 n/a N 6->2
248483.0000 M246 1000000 1 2483.0000 6 2 n/a N 6->2
248487.0000 M145 1000000 1 103487.0000 6 2 n/a N 6->2
248491.0000 M184 1000000 1 64491.0000 6 2 n/a N 6->2
248495.0000 M200 1000000 1 48495.0000 6 2 n/a N 6->2
248499.0000 M242 1000000 1 6499.0000 6 2 n/a N 6->2
249053.0000 M249 1000000 1 53.0000 6 2 n/a N 6->2
252759.0000 M154 1000000 1 98759.0000 1 6 n/a N 1->6
252763.0000 M139 1000000 1 113763.0000 1 6 n/a N 1->6
252767.0000 M125 1000000 1 127767.0000 6 1 n/a N 6->1
252771.0000 M186 1000000 1 66771.0000 6 1 n/a N 6->1
252775.0000 M212 1000000 1 40775.0000 6 1 n/a N 6->1
260590.0000 M251 1000000 1 9590.0000 6 2 n/a N 6->2
261547.0000 M259 1000000 1 2547.0000 6 1 n/a N 6->1
262027.0000 M149 1000000 1 113027.0000 6 4 n/a N 6->4
262519.0000 M179 1000000 1 83519.0000 0 6 n/a N 0->6
262523.0000 M131 1000000 1 131523.0000 0 6 n/a N 0->6
262527.0000 M225 1000000 1 37527.0000 0 6 n/a N 0->6
262531.0000 M203 1000000 1 59531.0000 0 6 n/a N 0->6
262536.0000 M137 1000000 1 125536.0000 6 0 n/a N 6->0
262540.0000 M116 1000000 1 146540.0000 6 0 n/a N 6->0
262544.0000 M152 1000000 1 110544.0000 6 0 n/a N 6->0
268452.0000 M268 1000000 1 452.0000 6 0 n/a N 6->0
269263.0000 M124 1000000 1 145263.0000 3 6 n/a N 3->6
269267.0000 M172 1000000 1 97267.0000 3 6 n/a N 3->6
269271.0000 M163 1000000 1 106271.0000 6 3 n/a N 6->3
269275.0000 M221 1000000 1 48275.0000 6 3 n/a N 6->3
269279.0000 M224 1000000 1 45279.0000 6 3 n/a N 6->3
269283.0000 M205 1000000 1 64283.0000 6 3 n/a N 6->3
272483.0000 M264 1000000 1 8483.0000 6 4 n/a N 6->4
337179.0000 M337 1000000 1 179.0000 2 7 n/a N 2->7
337183.0000 M193 1000000 1 144183.0000 2 7 n/a N 2->7
337187.0000 M335 1000000 1 2187.0000 2 7 n/a N 2->7
337191.0000 M155 1000000 1 182191.0000 2 7 n/a N 2->7
337195.0000 M101 1000000 1 236195.0000 2 7 n/a N 2->7
337199.0000 M20 1000000 1 317199.0000 2 7 n/a N 2->7
337203.0000 M85 1000000 1 252203.0000 2 7 n/a N 2->7
337207.0000 M51 1000000 1 286207.0000 0 7 n/a N 0->7
337207.0000 M285 1000000 1 52207.0000 2 1 n/a N 2->1
337211.0000 M202 1000000 1 135211.0000 0 7 n/a N 0->7
337215.0000 M88 1000000 1 249215.0000 0 7 n/a N 0->7
337219.0000 M160 1000000 1 177219.0000 0 7 n/a N 0->7
337223.0000 M61 1000000 1 276223.0000 7 2 n/a N 7->2
337227.0000 M161 1000000 1 176227.0000 7 2 n/a N 7->2
337231.0000 M248 1000000 1 89231.0000 7 2 n/a N 7->2
337235.0000 M190 1000000 1 147235.0000 7 2 n/a N 7->2
337239.0000 M156 1000000 1 181239.0000 7 0 n/a N 7->0
337243.0000 M56 1000000 1 281243.0000 7 0 n/a N 7->0
337247.0000 M58 1000000 1 279247.0000 7 0 n/a N 7->0
337251.0000 M134 1000000 1 203251.0000 7 0 n/a N 7->0
337255.0000 M276 1000000 1 61255.0000 7 0 n/a N 7->0
337259.0000 M57 1000000 1 280259.0000 7 0 n/a N 7->0
338901.0000 M317 1000000 1 21901.0000 6 1 n/a N 6->1
338906.0000 M294 1000000 1 44906.0000 1 6 n/a N 1->6
339950.0000 M176 1000000 1 163950.0000 7 5 n/a N 7->5
339954.0000 M326 1000000 1 13954.0000 7 5 n/a N 7->5
339958.0000 M217 1000000 1 122958.0000 7 5 n/a N 7->5
339962.0000 M209 1000000 1 130962.0000 7 5 n/a N 7->5
339966.0000 M240 1000000 1 99966.0000 7 5 n/a N 7->5
339970.0000 M127 1000000 1 212970.0000 7 5 n/a N 7->5
339974.0000 M29 1000000 1 310974.0000 7 5 n/a N 7->5
339979.0000 M208 1000000 1 131979.0000 5 7 n/a N 5->7
339983.0000 M333 1000000 1 6983.0000 5 7 n/a N 5->7
340610.0000 M260 1000000 1 80610.0000 1 7 n/a N 1->7
340851.0000 M288 1000000 1 52851.0000 2 1 n/a N 2->1
340855.0000 M223 1000000 1 117855.0000 2 1 n/a N 2->1
340859.0000 M310 1000000 1 30859.0000 2 1 n/a N 2->1
340863.0000 M250 1000000 1 90863.0000 2 1 n/a N 2->1
340868.0000 M316 1000000 1 24868.0000 1 2 n/a N 1->2
340872.0000 M340 1000000 1 872.0000 1 2 n/a N 1->2
340876.0000 M318 1000000 1 22876.0000 1 2 n/a N 1->2
340880.0000 M339 1000000 1 1880.0000 1 2 n/a N 1->2
341992.0000 M270 1000000 1 71992.0000 7 4 n/a N 7->4
343487.0000 M49 1000000 1 294487.0000 1 4 n/a N 1->4
343491.0000 M197 1000000 1 146491.0000 1 4 n/a N 1->4
343495.0000 M228 1000000 1 115495.0000 1 4 n/a N 1->4
343499.0000 M111 1000000 1 232499.0000 1 4 n/a N 1->4
343503.0000 M267 1000000 1 76503.0000 1 4 n/a N 1->4
343507.0000 M107 1000000 1 236507.0000 1 4 n/a N 1->4
