# time  created  delivered  delivered/created
1000.0000 1 0 0.0000
2000.0000 2 0 0.0000
2941.0000 2 1 0.5000
3000.0000 3 1 0.3333
3004.0000 3 2 0.6667
4000.0000 4 2 0.5000
5000.0000 5 2 0.4000
6000.0000 6 2 0.3333
7000.0000 7 2 0.2857
7311.0000 7 3 0.4286
7995.0000 7 4 0.5714
8000.0000 8 4 0.5000
8004.0000 8 5 0.6250
8495.0000 8 6 0.7500
9000.0000 9 6 0.6667
9004.0000 9 7 0.7778
10000.0000 10 7 0.7000
11000.0000 11 7 0.6364
12000.0000 12 7 0.5833
13000.0000 13 7 0.5385
13170.0000 13 8 0.6154
14000.0000 14 8 0.5714
15000.0000 15 8 0.5333
15519.0000 15 9 0.6000
16000.0000 16 9 0.5625
16141.0000 16 10 0.6250
16148.0000 16 11 0.6875
17000.0000 17 11 0.6471
17090.0000 17 12 0.7059
17610.0000 17 13 0.7647
17898.0000 17 14 0.8235
18000.0000 18 14 0.7778
19000.0000 19 14 0.7368
20000.0000 20 14 0.7000
21000.0000 21 14 0.6667
22000.0000 22 14 0.6364
22638.0000 22 15 0.6818
23000.0000 23 15 0.6522
24000.0000 24 15 0.6250
25000.0000 25 15 0.6000
26000.0000 26 15 0.5769
27000.0000 27 15 0.5556
28000.0000 28 15 0.5357
29000.0000 29 15 0.5172
30000.0000 30 15 0.5000
31000.0000 31 15 0.4839
32000.0000 32 15 0.4688
33000.0000 33 15 0.4545
34000.0000 34 15 0.4412
35000.0000 35 15 0.4286
36000.0000 36 15 0.4167
37000.0000 37 15 0.4054
38000.0000 38 15 0.3947
39000.0000 39 15 0.3846
40000.0000 40 15 0.3750
41000.0000 41 15 0.3659
42000.0000 42 15 0.3571
43000.0000 43 15 0.3488
44000.0000 44 15 0.3409
45000.0000 45 15 0.3333
46000.0000 46 15 0.3261
47000.0000 47 15 0.3191
48000.0000 48 15 0.3125
49000.0000 49 15 0.3061
50000.0000 50 15 0.3000
51000.0000 51 15 0.2941
52000.0000 52 15 0.2885
53000.0000 53 15 0.2830
54000.0000 54 15 0.2778
55000.0000 55 15 0.2727
56000.0000 56 15 0.2679
57000.0000 57 15 0.2632
58000.0000 58 15 0.2586
59000.0000 59 15 0.2542
60000.0000 60 15 0.2500
61000.0000 61 15 0.2459
62000.0000 62 15 0.2419
63000.0000 63 15 0.2381
64000.0000 64 15 0.2344
65000.0000 65 15 0.2308
66000.0000 66 15 0.2273
67000.0000 67 15 0.2239
68000.0000 68 15 0.2206
69000.0000 69 15 0.2174
70000.0000 70 15 0.2143
71000.0000 71 15 0.2113
72000.0000 72 15 0.2083
73000.0000 73 15 0.2055
74000.0000 74 15 0.2027
75000.0000 75 15 0.2000
76000.0000 76 15 0.1974
77000.0000 77 15 0.1948
78000.0000 78 15 0.1923
79000.0000 79 15 0.1899
80000.0000 80 15 0.1875
80291.0000 80 16 0.2000
80295.0000 80 17 0.2125
80299.0000 80 18 0.2250
80311.0000 80 19 0.2375
80315.0000 80 20 0.2500
81000.0000 81 20 0.2469
82000.0000 82 20 0.2439
83000.0000 83 20 0.2410
83564.0000 83 21 0.2530
84000.0000 84 21 0.2500
84074.0000 84 22 0.2619
84078.0000 84 23 0.2738
84082.0000 84 24 0.2857
84086.0000 84 25 0.2976
85000.0000 85 25 0.2941
85256.0000 85 26 0.3059
85260.0000 85 27 0.3176
85264.0000 85 28 0.3294
86000.0000 86 28 0.3256
86810.0000 86 29 0.3372
87000.0000 87 29 0.3333
87005.0000 87 30 0.3448
87017.0000 87 31 0.3563
87039.0000 87 32 0.3678
87405.0000 87 33 0.3793
87409.0000 87 34 0.3908
87414.0000 87 35 0.4023
87418.0000 87 36 0.4138
88000.0000 88 36 0.4091
88106.0000 88 37 0.4205
88110.0000 88 38 0.4318
88114.0000 88 39 0.4432
88220.0000 88 40 0.4545
88224.0000 88 41 0.4659
88849.0000 88 42 0.4773
88853.0000 88 43 0.4886
88972.0000 88 44 0.5000
88976.0000 88 45 0.5114
88980.0000 88 46 0.5227
89000.0000 89 46 0.5169
90000.0000 90 46 0.5111
91000.0000 91 46 0.5055
92000.0000 92 46 0.5000
92064.0000 92 47 0.5109
92068.0000 92 48 0.5217
92299.0000 92 49 0.5326
92303.0000 92 50 0.5435
92307.0000 92 51 0.5543
92312.0000 92 52 0.5652
93000.0000 93 52 0.5591
94000.0000 94 52 0.5532
95000.0000 95 52 0.5474
95860.0000 95 53 0.5579
96000.0000 96 53 0.5521
96004.0000 96 54 0.5625
96218.0000 96 55 0.5729
97000.0000 97 55 0.5670
98000.0000 98 55 0.5612
99000.0000 99 55 0.5556
100000.0000 100 55 0.5500
101000.0000 101 55 0.5446
102000.0000 102 55 0.5392
102385.0000 102 56 0.5490
102981.0000 102 57 0.5588
103000.0000 103 57 0.5534
103004.0000 103 58 0.5631
104000.0000 104 58 0.5577
105000.0000 105 58 0.5524
105915.0000 105 59 0.5619
106000.0000 106 59 0.5566
106152.0000 106 60 0.5660
107000.0000 107 60 0.5607
108000.0000 108 60 0.5556
109000.0000 109 60 0.5505
110000.0000 110 60 0.5455
111000.0000 111 60 0.5405
112000.0000 112 60 0.5357
112004.0000 112 61 0.5446
113000.0000 113 61 0.5398
114000.0000 114 61 0.5351
115000.0000 115 61 0.5304
116000.0000 116 61 0.5259
117000.0000 117 61 0.5214
118000.0000 118 61 0.5169
119000.0000 119 61 0.5126
120000.0000 120 61 0.5083
121000.0000 121 61 0.5041
122000.0000 122 61 0.5000
123000.0000 123 61 0.4959
124000.0000 124 61 0.4919
125000.0000 125 61 0.4880
126000.0000 126 61 0.4841
127000.0000 127 61 0.4803
128000.0000 128 61 0.4766
129000.0000 129 61 0.4729
130000.0000 130 61 0.4692
131000.0000 131 61 0.4656
132000.0000 132 61 0.4621
133000.0000 133 61 0.4586
134000.0000 134 61 0.4552
135000.0000 135 61 0.4519
136000.0000 136 61 0.4485
137000.0000 137 61 0.4453
138000.0000 138 61 0.4420
139000.0000 139 61 0.4388
140000.0000 140 61 0.4357
141000.0000 141 61 0.4326
142000.0000 142 61 0.4296
143000.0000 143 61 0.4266
144000.0000 144 61 0.4236
145000.0000 145 61 0.4207
146000.0000 146 61 0.4178
147000.0000 147 61 0.4150
148000.0000 148 61 0.4122
149000.0000 149 61 0.4094
150000.0000 150 61 0.4067
151000.0000 151 61 0.4040
