HOST   TimeON  ScanEnergy
0 18339.0 10003.9245
1 26571.0 14494.4805
2 21991.0 11996.0905
3 23908.0 13041.814
4 23918.0 13047.269
5 19321.0 10539.6055
6 17555.0 9576.2525
7 22858.0 12469.038999999999
8 19533.0 10655.2515
9 19135.0 10438.1425
10 18870.0 10293.585
11 28193.0 15379.2815
12 18931.0 10326.860499999999
13 16228.0 8852.374
14 19523.0 10649.7965
15 16973.0 9258.771499999999
16 26582.0 14500.481
17 21728.0 11852.624
18 20829.0 11362.2195
19 7905.0 4312.1775
20 18063.0 9853.3665
21 25214.0 13754.237
22 19898.0 10854.359
23 26745.0 14589.3975
24 21786.0 11884.262999999999
25 17075.0 9314.4125
26 18237.0 9948.2835
27 22459.0 12251.3845
28 15473.0 8440.521499999999
29 20949.0 11427.6795
30 22316.0 12173.377999999999
31 16738.0 9130.579
32 19228.0 10488.874
33 17473.0 9531.521499999999
34 19523.0 10649.7965
35 17034.0 9292.047
36 10282.0 5608.831
37 21603.0 11784.4365
38 18890.0 10304.494999999999
39 20623.0 11249.8465
40 22724.0 12395.942
41 15229.0 8307.4195
42 19259.0 10505.7845
43 20877.0 11388.4035
44 18523.0 10104.2965
45 21604.0 11784.982
46 17261.0 9415.8755
47 17309.0 9442.0595
48 18238.0 9948.829
49 20042.0 10932.911
50 9007.0 4913.3185
51 15952.0 8701.815999999999
52 20654.0 11266.757
53 18074.0 9859.367
54 19664.0 10726.712
55 21389.0 11667.699499999999
56 17349.0 9463.8795
57 17532.0 9563.706
58 21113.0 11517.1415
59 21052.0 11483.866
60 21836.0 11911.538
61 21613.0 11789.8915
62 18811.0 10261.4005
63 17554.0 9575.707
64 20062.0 10943.821
65 17634.0 9619.347
66 18513.0 10098.8415
67 16821.0 9175.8555
68 22305.0 12167.3775
69 20327.0 11088.378499999999
70 18799.0 10254.8545
71 15716.0 8573.078
72 20104.0 10966.732
73 18778.0 10243.399
74 22183.0 12100.8265
75 19900.0 10855.449999999999
76 22012.0 12007.546
77 17627.0 9615.5285
78 20062.0 10943.821
79 16196.0 8834.918
80 16665.0 9090.7575
81 25295.0 13798.422499999999
82 19307.0 10531.968499999999
83 16983.0 9264.226499999999
84 17991.0 9814.0905
85 22296.0 12162.467999999999
86 17164.0 9362.962
87 22244.0 12134.101999999999
88 22094.0 12052.277
89 15545.0 8479.7975
90 17368.0 9474.244
91 15461.0 8433.9755
92 22125.0 12069.1875
93 16819.0 9174.7645
94 22632.0 12345.756
